,Sno,date,Negative,Positive
413,414,2021-02-17,17,20
414,415,2021-02-18,9,13
415,416,2021-02-19,15,10
416,417,2021-02-20,12,8
417,418,2021-02-21,16,13
418,419,2021-02-22,14,12
419,420,2021-02-23,15,15
420,421,2021-02-24,18,18
421,422,2021-02-25,12,16
422,423,2021-02-26,16,14
423,424,2021-02-27,10,12
424,425,2021-02-28,18,18
425,426,2021-03-01,15,11
